"country";"iso3";"note";"unit";"Ед..измерения";"2019-12-16";"2019-12-23";"2019-12-30";"2020-01-06";"2020-01-13";"2020-01-20";"2020-01-27";"2020-02-03";"2020-02-10";"2020-02-17";"2020-02-24";"2020-03-02";"2020-03-09";"2020-03-16";"2020-03-23";"2020-03-30";"2020-04-06";"2020-04-13";"2020-04-20";"2020-04-27";"2020-05-04";"2020-05-11";"2020-05-18";"2020-05-25";"2020-06-01";"2020-06-08";"2020-06-15";"2020-06-22";"2020-06-29"
"Польша";"POL";NA;NA;"Мб/сек";23,38;20,76;21,51;22,95;23,13;23,2;21,76;22,43;21,98;22,05;22,01;22,45;18,57;16,46;17,34;17,53;19,74;17,52;20,21;20,5;22,48;22,68;23,85;24,09;24,4;22,92;22,19;23,41;23,02
"Аргентина";"ARG";NA;NA;"Мб/сек";18,96;19,04;19;17,75;17,54;17,64;18,91;18,53;18,3;18,3;18,87;18,69;18,08;17,16;16,94;18,25;17,91;18,62;18,41;18,55;19,57;20,16;20,45;20,54;21,11;21,03;20,48;20,2;20,45
"Филиппины";"PHL";NA;NA;"Мб/сек";9,67;9,57;8,97;9,01;8,4;8,89;9,13;9,19;9,79;9,14;9,37;9,29;9,75;6,75;5,81;5,25;5,42;5,57;5,69;6,44;6,57;6,35;7,57;8,22;8,3;8,29;8,46;8,7;8,69
"Румыния";"ROU";NA;NA;"Мб/сек";26;23,27;24,14;24,82;23,98;23,97;23,9;23,6;24,33;23,8;24,56;23,31;23,59;22,22;20,76;22,8;23,45;22,61;23,6;23,77;23,3;24;25,21;25,36;25,27;25,48;25,48;24,55;25,42
"Израиль";"ISR";NA;NA;"Мб/сек";14,39;13,7;14,89;13,04;13,19;12,82;13,16;12,36;12,63;12,67;12,8;12,67;10,35;8,87;8,41;9,55;10,39;10,27;10,96;11,55;12,5;13,13;13,24;13,35;12,38;12,48;12,01;11,75;11,74
"Япония";"JPN";NA;NA;"Мб/сек";19,44;20,92;20,44;21,25;21,04;21,17;20,2;22,41;21,62;21,08;22,39;22,69;23,47;23,22;24,02;25,49;28,51;27,88;26,39;27,72;25,71;26,24;26,86;25,87;24,59;24,39;24,56;24,89;24,78
"Австрия";"AUT";NA;NA;"Мб/сек";39,57;38,39;39,22;38,2;39,35;39,86;39,83;39,11;39,26;40,51;39,84;41,39;36,38;31,29;31,89;34,77;36,22;36,42;38,94;36,37;41,9;39,22;42,49;40,2;41,88;40,4;40,97;44,06;43,2
"Ирак";"IRQ";NA;NA;"Мб/сек";3,82;3,42;3,32;3,56;2,73;2,79;2,86;3;2,77;3,24;2,7;2,1;1,99;1,92;2,42;2,97;2,99;3,77;4,26;4;3,94;4,06;4,15;3,88;4,62;4,63;3,5;3,74;3,92
"Армения";"ARM";NA;NA;"Мб/сек";19,96;21,6;20,72;20,36;19,59;19,97;19,38;17,97;21,02;18,97;21,03;19,55;19,78;19,66;19,95;21,19;20,93;23,54;20,95;25,97;20,03;24,99;24,29;24,46;23,35;21,77;22,84;22,54;22,7
"Нигерия";"NGA";NA;NA;"Мб/сек";11,11;10,89;10,26;10,14;12,05;11,59;11,58;10,56;10,68;11,85;12,5;10,39;11,31;11,15;9,68;9,09;9,82;9,79;9,99;9,9;10,54;10,25;11,21;10,49;10,7;9,11;9,78;10,78;10,67
"Казахстан";"KAZ";NA;NA;"Мб/сек";11,63;12,95;12,68;11,6;11,52;11,41;11,4;11,42;11,43;11,2;11,33;11,23;11,47;10,36;9,22;9,23;9,28;9,21;10,49;11,77;12,05;12,78;12,51;14,4;14,23;14,45;13,16;11,69;12,13
"Южная Корея";"KOR";NA;NA;"Мб/сек";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Алжир";"DZA";NA;NA;"Мб/сек";4,9;4,75;5,25;4,87;5,31;5,44;5,63;5,3;5,74;5,59;5,58;5,06;5,75;4,32;3,2;3,32;3,96;4,89;6,05;6,69;6,6;6,59;7,09;6,82;7,04;6,99;7,13;7,57;7,11
"Гана";"GHA";NA;NA;"Мб/сек";10,17;9,18;9,48;9;19,4;9,52;10,74;10,3;8,63;10,35;8,59;9,98;10,02;8,84;5,66;4,45;4,88;5,89;7,59;7,61;8,42;7,56;9,13;9,65;9,86;8,62;9,22;8,76;8,94
"Чехия";"CZE";NA;NA;"Мб/сек";33,86;26,87;30,39;33,6;32,76;33,05;30,74;33,61;31,3;29,8;30,6;32,26;30,3;26,84;24,69;25,96;25,5;24,19;24,93;25,97;27,85;29,73;30,8;33,61;28,38;28,36;28,35;29,27;27,92
"Марокко";"MAR";NA;NA;"Мб/сек";22,31;24,08;24,47;24,33;22,51;20,44;23,44;22,79;23,72;22,41;22,04;21,42;21,93;14,75;16,33;17,23;17,65;17,75;19,17;21,21;22,74;22,31;22,8;22,31;23,14;23,24;23,61;25,4;27,15
"Малайзия";"MYS";NA;NA;"Мб/сек";15,48;15,33;16,69;16,33;16,15;14,86;14,54;14,65;14,07;14,29;13,71;13,68;14,63;9,65;8,45;10,31;10,63;10,19;10,88;11,39;13,72;14,3;15,34;14,15;15,47;16,18;16,01;16,04;16,4
"Австралия";"AUS";NA;NA;"Мб/сек";46,68;42,26;41,25;43,66;41,27;40,45;41,36;40,26;41,32;41,68;41,67;43,03;43,04;40,76;36,08;35,82;35,86;38,14;39,77;39,71;40,75;42,13;42,33;43,61;44,38;44,14;44,68;43,73;42,92
